id,type,question,options,correct
4,capitals,Какая столица у Испании?,Барселона;Валенсия;Мадрид;Севилья,Мадрид
5,capitals,Какая столица у Великобритании?,Манчестер;Ливерпуль;Лондон;Эдинбург,Лондон
6,capitals,Какая столица у России?,Санкт-Петербург;Новосибирск;Москва;Екатеринбург,Москва
7,capitals,Какая столица у Китая?,Шанхай;Пекин;Гуанчжоу;Шэньчжэнь,Пекин
8,capitals,Какая столица у Японии?,Осака;Токио;Киото;Иокогама,Токио
9,capitals,Какая столица у США?,Лос-Анджелес;Чикаго;Вашингтон;Нью-Йорк,Вашингтон
10,capitals,Какая столица у Канады?,Торонто;Монреаль;Оттава;Ванкувер,Оттава
11,capitals,Какая столица у Бразилии?,Рио-де-Жанейро;Сан-Паулу;Бразилиа;Салвадор,Бразилиа
12,capitals,Какая столица у Австралии?,Сидней;Мельбурн;Канберра;Брисбен,Канберра
13,capitals,Какая столица у Индии?,Мумбаи;Дели;Бангалор;Калькутта,Дели
14,capitals,Какая столица у Южной Кореи?,Пусан;Инчхон;Сеул;Тэгу,Сеул
15,capitals,Какая столица у Мексики?,Гвадалахара;Монтеррей;Мехико;Пуэбла,Мехико
16,capitals,Какая столица у Турции?,Стамбул;Анкара;Измир;Бурса,Анкара
17,capitals,Какая столица у Египта?,Александрия;Гиза;Каир;Порт-Саид,Каир
18,capitals,Какая столица у ЮАР?,Кейптаун;Дурбан;Претория;Йоханнесбург,Претория
19,capitals,Какая столица у Аргентины?,Кордова;Росарио;Буэнос-Айрес;Мендоса,Буэнос-Айрес
20,capitals,Какая столица у Нидерландов?,Роттердам;Гаага;Амстердам;Утрехт,Амстердам
21,capitals,Какая столица у Швеции?,Гётеборг;Мальмё;Стокгольм;Уппсала,Стокгольм
22,capitals,Какая столица у Швейцарии?,Цюрих;Женева;Берн;Базель,Берн
23,capitals,Какая столица у Бельгии?,Антверпен;Гент;Брюссель;Брюгге,Брюссель
24,capitals,Какая столица у Австрии?,Грац;Линц;Вена;Зальцбург,Вена
25,capitals,Какая столица у Греции?,Салоники;Патры;Афины;Ираклион,Афины
26,capitals,Какая столица у Португалии?,Порту;Коимбра;Лиссабон;Брага,Лиссабон
27,capitals,Какая столица у Польши?,Краков;Варшава;Вроцлав;Познань,Варшава
28,capitals,Какая столица у Украины?,Харьков;Одесса;Киев;Львов,Киев
29,capitals,Какая столица у Беларуси?,Гомель;Витебск;Минск;Брест,Минск
30,capitals,Какая столица у Казахстана?,Алматы;Шымкент;Нур-Султан;Актобе,Нур-Султан
31,capitals,Какая столица у Саудовской Аравии?,Джидда;Мекка;Эр-Рияд;Медина,Эр-Рияд
32,capitals,Какая столица у ОАЭ?,Дубай;Абу-Даби;Шарджа;Аджман,Абу-Даби
33,capitals,Какая столица у Израиля?,Тель-Авив;Хайфа;Иерусалим;Беэр-Шева,Иерусалим
34,capitals,Какая столица у Ирана?,Тегеран;Мешхед;Исфахан;Тебриз,Тегеран
35,capitals,Какая столица у Пакистана?,Карачи;Лахор;Исламабад;Пешавар,Исламабад
36,capitals,Какая столица у Таиланда?,Чиангмай;Пхукет;Бангкок;Паттайя,Бангкок
37,capitals,Какая столица у Вьетнама?,Хошимин;Ханой;Дананг;Хюэ,Ханой
38,capitals,Какая столица у Индонезии?,Сурабая;Бандунг;Джакарта;Денпасар,Джакарта
39,capitals,Какая столица у Филиппин?,Себу;Давао;Манила;Кесон-Сити,Манила
40,capitals,Какая столица у Малайзии?,Джорджтаун;Куала-Лумпур;Ипох;Кота-Кинабалу,Куала-Лумпур
41,capitals,Какая столица у Сингапура?,Сингапур;Джохор-Бару;Пенанг;Малакка,Сингапур
42,capitals,Какая столица у Норвегии?,Берген;Осло;Тронхейм;Ставангер,Осло
43,capitals,Какая столица у Финляндии?,Тампере;Турку;Хельсинки;Оулу,Хельсинки
44,capitals,Какая столица у Дании?,Орхус;Оденсе;Копенгаген;Ольборг,Копенгаген
45,capitals,Какая столица у Ирландии?,Корк;Голуэй;Дублин;Лимерик,Дублин
46,capitals,Какая столица у Чехии?,Брно;Острава;Прага;Пльзень,Прага
47,capitals,Какая столица у Венгрии?,Дебрецен;Сегед;Будапешт;Мишкольц,Будапешт
48,capitals,Какая столица у Румынии?,Клуж-Напока;Тимишоара;Бухарест;Яссы,Бухарест
49,capitals,Какая столица у Болгарии?,Пловдив;Варна;София;Бургас,София
50,capitals,Какая столица у Сербии?,Нови-Сад;Ниш;Белград;Крагуевац,Белград
51,capitals,Какая столица у Хорватии?,Сплит;Риека;Загреб;Дубровник,Загреб
52,capitals,Какая столица у Словакии?,Кошице;Братислава;Прешов;Жилина,Братислава
53,capitals,Какая столица у Словении?,Марибор;Любляна;Целе;Копер,Любляна
54,capitals,Какая столица у Литвы?,Каунас;Клайпеда;Вильнюс;Шяуляй,Вильнюс
55,capitals,Какая столица у Латвии?,Даугавпилс;Рига;Лиепая;Юрмала,Рига
56,capitals,Какая столица у Эстонии?,Тарту;Таллин;Нарва;Пярну,Таллин
57,capitals,Какая столица у Исландии?,Акурейри;Рейкьявик;Кеблавик;Хабнарфьордюр,Рейкьявик
58,capitals,Какая столица у Алжира?,Оран;Константина;Алжир;Аннаба,Алжир
59,capitals,Какая столица у Марокко?,Касабланка;Фес;Рабат;Марракеш,Рабат
60,capitals,Какая столица у Туниса?,Сфакс;Тунис;Сус;Бизерта,Тунис
61,capitals,Какая столица у Ливии?,Бенгази;Триполи;Мисурата;Тобрук,Триполи
62,capitals,Какая столица у Кении?,Момбаса;Найроби;Кисуму;Накуру,Найроби
63,capitals,Какая столица у Нигерии?,Лагос;Кано;Абуджа;Ибадан,Абуджа
64,capitals,Какая столица у Ганы?,Кумаси;Аккра;Тамале;Секонди,Аккра
65,capitals,Какая столица у Эфиопии?,Дыре-Дауа;Аддис-Абеба;Гондэр;Бахр-Дар,Аддис-Абеба
66,capitals,Какая столица у Южного Судана?,Джуба;Вау;Малакаль;Бор,Джуба
67,capitals,Какая столица у Анголы?,Луанда;Уамбо;Лобиту;Бенгела,Луанда
68,capitals,Какая столица у Мозамбика?,Бейра;Нампула;Мапуту;Шимойо,Мапуту
69,capitals,Какая столица у Замбии?,Ндола;Ливингстон;Лусака;Китве,Лусака
70,capitals,Какая столица у Зимбабве?,Булавайо;Хараре;Мутаре;Гверу,Хараре
71,capitals,Какая столица у Намибии?,Виндхук;Свакопмунд;Рунду;Ошакати,Виндхук
72,capitals,Какая столица у Ботсваны?,Франсистаун;Габороне;Маун;Серове,Габороне
73,capitals,Какая столица у Мадагаскара?,Антананариву;Туамасина;Анцирабе;Фианаранцуа,Антананариву
74,capitals,Какая столица у Демократической Республики Конго?,Киншаса;Лубумбаши;Мбужи-Майи;Кисангани,Киншаса
